51 41
1000 -1000 -44.55384
1000 -900 -41.54070
1000 -800 -38.21295
1000 -700 -34.54482
1000 -600 -30.51621
1000 -500 -26.11715
1000 -400 -21.35316
1000 -300 -16.25064
1000 -200 -10.86097
1000 -100 -5.26127
1000 0 0.44968
1000 100 6.16063
1000 200 11.76033
1000 300 17.15000
1000 400 22.25253
1000 500 27.01653
1000 600 31.41560
1000 700 35.44422
1000 800 39.11238
1000 900 42.44015
1000 1000 45.45330
1000 1100 48.17998
1000 1200 50.64847
1000 1300 52.88581
1000 1400 54.91710
1000 1500 56.76508
1000 1600 58.45014
1000 1700 59.99035
1000 1800 61.40166
1000 1900 62.69810
1000 2000 63.89197
1000 2100 64.99405
1000 2200 66.01382
1000 2300 66.95959
1000 2400 67.83867
1000 2500 68.65751
1000 2600 69.42179
1000 2700 70.13656
1000 2800 70.80625
1000 2900 71.43486
1000 3000 72.02591
1100 -1000 -41.78290
1100 -900 -38.79824
1100 -800 -35.53582
1100 -700 -31.97926
1100 -600 -28.11814
1100 -500 -23.95125
1100 -400 -19.49002
1100 -300 -14.76164
1100 -200 -9.81098
1100 -100 -4.70017
1100 0 0.49465
1100 100 5.68947
1100 200 10.80028
1100 300 15.75095
1100 400 20.47933
1100 500 24.94058
1100 600 29.10748
1100 700 32.96861
1100 800 36.52520
1100 900 39.78763
1100 1000 42.77232
1100 1100 45.49903
1100 1200 47.98899
1100 1300 50.26348
1100 1400 52.34302
1100 1500 54.24682
1100 1600 55.99255
1100 1700 57.59624
1100 1800 59.07232
1100 1900 60.43372
1100 2000 61.69192
1100 2100 62.85716
1100 2200 63.93850
1100 2300 64.94400
1100 2400 65.88083
1100 2500 66.75532
1100 2600 67.57313
1100 2700 68.33931
1100 2800 69.05835
1100 2900 69.73426
1100 3000 70.37063
1200 -1000 -39.27015
1200 -900 -36.33407
1200 -800 -33.15382
1200 -700 -29.71977
1200 -600 -26.02797
1200 -500 -22.08236
1200 -400 -17.89703
1200 -300 -13.49790
1200 -200 -8.92355
1200 -100 -4.22445
1200 0 0.53962
1200 100 5.30369
1200 200 10.00280
1200 300 14.57715
1200 400 18.97629
1200 500 23.16164
1200 600 27.10726
1200 700 30.79908
1200 800 34.23315
1200 900 37.41342
1200 1000 40.34953
1200 1100 43.05485
1200 1200 45.54484
1200 1300 47.83589
1200 1400 49.94443
1200 1500 51.88636
1200 1600 53.67672
1200 1700 55.32947
1200 1800 56.85745
1200 1900 58.27232
1200 2000 59.58466
1200 2100 60.80399
1200 2200 61.93887
1200 2300 62.99697
1200 2400 63.98519
1200 2500 64.90970
1200 2600 65.77602
1200 2700 66.58914
1200 2800 67.35350
1200 2900 68.07312
1200 3000 68.75161
1300 -1000 -36.98855
1300 -900 -34.11466
1300 -800 -31.02656
1300 -700 -27.71936
1300 -600 -24.19330
1300 -500 -20.45521
1300 -400 -16.51997
1300 -300 -12.41140
1300 -200 -8.16249
1300 -100 -3.81457
1300 0 0.58460
1300 100 4.98376
1300 200 9.33169
1300 300 13.58061
1300 400 17.68919
1300 500 21.62444
1300 600 25.36254
1300 700 28.88862
1300 800 32.19584
1300 900 35.28397
1300 1000 38.15788
1300 1100 40.82613
1300 1200 43.29964
1300 1300 45.59072
1300 1400 47.71230
1300 1500 49.67731
1300 1600 51.49831
1300 1700 53.18730
1300 1800 54.75549
1300 1900 56.21329
1300 2000 57.57026
1300 2100 58.83513
1300 2200 60.01588
1300 2300 61.11971
1300 2400 62.15317
1300 2500 63.12216
1300 2600 64.03204
1300 2700 64.88764
1300 2800 65.69333
1300 2900 66.45306
1300 3000 67.17042
1400 -1000 -34.91300
1400 -900 -32.11007
1400 -800 -29.11924
1400 -700 -25.93892
1400 -600 -22.57198
1400 -500 -19.02672
1400 -400 -15.31780
1400 -300 -11.46667
1400 -200 -7.50152
1400 -100 -3.45654
1400 0 0.62957
1400 100 4.71569
1400 200 8.76067
1400 300 12.72583
1400 400 16.57697
1400 500 20.28590
1400 600 23.83118
1400 700 27.19814
1400 800 30.37848
1400 900 33.36934
1400 1000 36.17230
1400 1100 38.79236
1400 1200 41.23695
1400 1300 43.51507
1400 1400 45.63668
1400 1500 47.61214
1400 1600 49.45180
1400 1700 51.16579
1400 1800 52.76379
1400 1900 54.25495
1400 2000 55.64781
1400 2100 56.95029
1400 2200 58.16969
1400 2300 59.31273
1400 2400 60.38552
1400 2500 61.39366
1400 2600 62.34227
1400 2700 63.23599
1400 2800 64.07906
1400 2900 64.87532
1400 3000 65.62830
1500 -1000 -33.02076
1500 -900 -30.29393
1500 -800 -27.40215
1500 -700 -24.34603
1500 -600 -21.13003
1500 -500 -17.76304
1500 -400 -14.25899
1500 -300 -10.63697
1500 -200 -6.92116
1500 -100 -3.14006
1500 0 0.67455
1500 100 4.48916
1500 200 8.27026
1500 300 11.98609
1500 400 15.60811
1500 500 19.11218
1500 600 22.47919
1500 700 25.69521
1500 800 28.75135
1500 900 31.64317
1500 1000 34.37003
1500 1100 36.93435
1500 1200 39.34087
1500 1300 41.59599
1500 1400 43.70723
1500 1500 45.68272
1500 1600 47.53089
1500 1700 49.26018
1500 1800 50.87883
1500 1900 52.39480
1500 2000 53.81563
1500 2100 55.14842
1500 2200 56.39979
1500 2300 57.57589
1500 2400 58.68243
1500 2500 59.72463
1500 2600 60.70732
1500 2700 61.63494
1500 2800 62.51153
1500 2900 63.34083
1500 3000 64.12623
1600 -1000 -31.29144
1600 -900 -28.64326
1600 -800 -25.85001
1600 -700 -22.91378
1600 -600 -19.83989
1600 -500 -16.63731
1600 -400 -13.31897
1600 -300 -9.90182
1600 -200 -6.40662
1600 -100 -2.85737
1600 0 0.71953
1600 100 4.29643
1600 200 7.84568
1600 300 11.34090
1600 400 14.75806
1600 500 18.07641
1600 600 21.27901
1600 700 24.35292
1600 800 27.28918
1600 900 30.08246
1600 1000 32.73068
1600 1100 35.23440
1600 1200 37.59637
1600 1300 39.82092
1600 1400 41.91357
1600 1500 43.88063
1600 1600 45.72884
1600 1700 47.46514
1600 1800 49.09649
1600 1900 50.62973
1600 2000 52.07143
1600 2100 53.42789
1600 2200 54.70508
1600 2300 55.90857
1600 2400 57.04360
1600 2500 58.11504
1600 2600 59.12739
1600 2700 60.08485
1600 2800 60.99125
1600 2900 61.85017
1600 3000 62.66489
1700 -1000 -29.70697
1700 -900 -27.13811
1700 -800 -24.44138
1700 -700 -21.61980
1700 -600 -18.67911
1700 -500 -15.62802
1700 -400 -12.47841
1700 -300 -9.24527
1700 -200 -5.94653
1700 -100 -2.60255
1700 0 0.76451
1700 100 4.13157
1700 200 7.47556
1700 300 10.77431
1700 400 14.00746
1700 500 17.15709
1700 600 20.20820
1700 700 23.14891
1700 800 25.97052
1700 900 28.66728
1700 1000 31.23618
1700 1100 33.67650
1700 1200 35.98947
1700 1300 38.17786
1700 1400 40.24559
1700 1500 42.19743
1700 1600 44.03869
1700 1700 45.77503
1700 1800 47.41224
1700 1900 48.95614
1700 2000 50.41241
1700 2100 51.78659
1700 2200 53.08399
1700 2300 54.30965
1700 2400 55.46832
1700 2500 56.56448
1700 2600 57.60232
1700 2700 58.58576
1700 2800 59.51841
1700 2900 60.40368
1700 3000 61.24469
1800 -1000 -28.25140
1800 -900 -25.76122
1800 -800 -23.15804
1800 -700 -20.44543
1800 -600 -17.62925
1800 -500 -14.71779
1800 -400 -11.72185
1800 -300 -8.65474
1800 -200 -5.53197
1800 -100 -2.37098
1800 0 0.80949
1800 100 3.98996
1800 200 7.15096
1800 300 10.27374
1800 400 13.34087
1800 500 16.33682
1800 600 19.24831
1800 700 22.06451
1800 800 24.77715
1800 900 27.38037
1800 1000 29.87058
1800 1100 32.24620
1800 1200 34.50736
1800 1300 36.65561
1800 1400 38.69361
1800 1500 40.62486
1800 1600 42.45350
1800 1700 44.18406
1800 1800 45.82131
1800 1900 47.37014
1800 2000 48.83545
1800 2100 50.22204
1800 2200 51.53462
1800 2300 52.77766
1800 2400 53.95550
1800 2500 55.07220
1800 2600 56.13162
1800 2700 57.13740
1800 2800 58.09294
1800 2900 59.00142
1800 3000 59.86581
1900 -1000 -26.91069
1900 -900 -24.49768
1900 -800 -21.98450
1900 -700 -19.37505
1900 -600 -16.67510
1900 -500 -13.89243
1900 -400 -11.03686
1900 -300 -8.12016
1900 -200 -5.15587
1900 -100 -2.15898
1900 0 0.85448
1900 100 3.86794
1900 200 6.86483
1900 300 9.82913
1900 400 12.74585
1900 500 15.60143
1900 600 18.38412
1900 700 21.08410
1900 800 23.69359
1900 900 26.20680
1900 1000 28.61986
1900 1100 30.93060
1900 1200 33.13836
1900 1300 35.24375
1900 1400 37.24846
1900 1500 39.15498
1900 1600 40.96643
1900 1700 42.68640
1900 1800 44.31879
1900 1900 45.86766
1900 2000 47.33717
1900 2100 48.73150
1900 2200 50.05473
1900 2300 51.31087
1900 2400 52.50378
1900 2500 53.63715
1900 2600 54.71453
1900 2700 55.73926
1900 2800 56.71449
1900 2900 57.64321
1900 3000 58.52822
2000 -1000 -25.67256
2000 -900 -23.33457
2000 -800 -20.90755
2000 -700 -18.39549
2000 -600 -15.80399
2000 -500 -13.14030
2000 -400 -10.41329
2000 -300 -7.63342
2000 -200 -4.81254
2000 -100 -1.96365
2000 0 0.89946
2000 100 3.76258
2000 200 6.61148
2000 300 9.43237
2000 400 12.21225
2000 500 14.93928
2000 600 17.60300
2000 700 20.19452
2000 800 22.70661
2000 900 25.13368
2000 1000 27.47171
2000 1100 29.71819
2000 1200 31.87189
2000 1300 33.93273
2000 1400 35.90162
2000 1500 37.78024
2000 1600 39.57090
2000 1700 41.27637
2000 1800 42.89980
2000 1900 44.44453
2000 2000 45.91409
2000 2100 47.31202
2000 2200 48.64192
2000 2300 49.90728
2000 2400 51.11156
2000 2500 52.25809
2000 2600 53.35007
2000 2700 54.39058
2000 2800 55.38253
2000 2900 56.32869
2000 3000 57.23169
2100 -1000 -24.52622
2100 -900 -22.26074
2100 -800 -19.91588
2100 -700 -17.49565
2100 -600 -15.00537
2100 -500 -12.45174
2100 -400 -9.84280
2100 -300 -7.18787
2100 -200 -4.49736
2100 -100 -1.78260
2100 0 0.94445
2100 100 3.67151
2100 200 6.38628
2100 300 9.07680
2100 400 11.73175
2100 500 14.34070
2100 600 16.89436
2100 700 19.38467
2100 800 21.80494
2100 900 24.14983
2100 1000 26.41536
2100 1100 28.59875
2100 1200 30.69843
2100 1300 32.71380
2100 1400 34.64517
2100 1500 36.49356
2100 1600 38.26061
2100 1700 39.94844
2100 1800 41.55952
2100 1900 43.09661
2100 2000 44.56263
2100 2100 45.96060
2100 2200 47.29362
2100 2300 48.56476
2100 2400 49.77708
2100 2500 50.93354
2100 2600 52.03707
2100 2700 53.09044
2100 2800 54.09633
2100 2900 55.05732
2100 3000 55.97584
2200 -1000 -23.46218
2200 -900 -21.26649
2200 -800 -18.99982
2200 -700 -16.66608
2200 -600 -14.27031
2200 -500 -11.81869
2200 -400 -9.31850
2200 -300 -6.77805
2200 -200 -4.20654
2200 -100 -1.61390
2200 0 0.98944
2200 100 3.59279
2200 200 6.18544
2200 300 8.75696
2200 400 11.29743
2200 500 13.79764
2200 600 16.24928
2200 700 18.64508
2200 800 20.97886
2200 900 23.24558
2200 1000 25.44131
2200 1100 27.56322
2200 1200 29.60943
2200 1300 31.57901
2200 1400 33.47179
2200 1500 35.28829
2200 1600 37.02960
2200 1700 38.69729
2200 1800 40.29328
2200 1900 41.81978
2200 2000 43.27922
2200 2100 44.67414
2200 2200 46.00719
2200 2300 47.28106
2200 2400 48.49842
2200 2500 49.66194
2200 2600 50.77420
2200 2700 51.83775
2200 2800 52.85503
2200 2900 53.82841
2200 3000 54.76013
2300 -1000 -22.47215
2300 -900 -20.34341
2300 -800 -18.15101
2300 -700 -15.89872
2300 -600 -13.59128
2300 -500 -11.23438
2300 -400 -8.83461
2300 -300 -6.39940
2300 -200 -3.93693
2300 -100 -1.45593
2300 0 1.03444
2300 100 3.52481
2300 200 6.00581
2300 300 8.46830
2300 400 10.90352
2300 500 13.30332
2300 600 15.66025
2300 700 17.96772
2300 800 20.22004
2300 900 22.41249
2300 1000 24.54128
2300 1100 26.60352
2300 1200 28.59721
2300 1300 30.52113
2300 1400 32.37479
2300 1500 34.15829
2300 1600 35.87229
2300 1700 37.51790
2300 1800 39.09656
2300 1900 40.61005
2300 2000 42.06034
2300 2100 43.44956
2300 2200 44.77997
2300 2300 46.05387
2300 2400 47.27362
2300 2500 48.44157
2300 2600 49.56004
2300 2700 50.63132
2300 2800 51.65763
2300 2900 52.64113
2300 3000 53.58390
2400 -1000 -21.54880
2400 -900 -19.48415
2400 -800 -17.36223
2400 -700 -15.18665
2400 -600 -12.96186
2400 -500 -10.69307
2400 -400 -8.38627
2400 -300 -6.04812
2400 -200 -3.68590
2400 -100 -1.30736
2400 0 1.07943
2400 100 3.46623
2400 200 5.84478
2400 300 8.20701
2400 400 10.54518
2400 500 12.85201
2400 600 15.12082
2400 700 17.34565
2400 800 19.52127
2400 900 21.64324
2400 1000 23.70793
2400 1100 25.71251
2400 1200 27.65488
2400 1300 29.53364
2400 1400 31.34803
2400 1500 33.09787
2400 1600 34.78345
2400 1700 36.40549
2400 1800 37.96507
2400 1900 39.46356
2400 2000 40.90255
2400 2100 42.28381
2400 2200 43.60924
2400 2300 44.88083
2400 2400 46.10063
2400 2500 47.27068
2400 2600 48.39307
2400 2700 49.46985
2400 2800 50.50302
2400 2900 51.49456
2400 3000 52.44638
2500 -1000 -20.68569
2500 -900 -18.68230
2500 -800 -16.62723
2500 -700 -14.52394
2500 -600 -12.37656
2500 -500 -10.18989
2500 -400 -7.96936
2500 -300 -5.72098
2500 -200 -3.45125
2500 -100 -1.16706
2500 0 1.12443
2500 100 3.41593
2500 200 5.70013
2500 300 7.96987
2500 400 10.21827
2500 500 12.43883
2500 600 14.62553
2500 700 16.77294
2500 800 18.87628
2500 900 20.93139
2500 1000 22.93483
2500 1100 24.88384
2500 1200 26.77626
2500 1300 28.61061
2500 1400 30.38593
2500 1500 32.10179
2500 1600 33.75820
2500 1700 35.35559
2500 1800 36.89471
2500 1900 38.37660
2500 2000 39.80252
2500 2100 41.17391
2500 2200 42.49238
2500 2300 43.75961
2500 2400 44.97737
2500 2500 46.14746
2500 2600 47.27173
2500 2700 48.35199
2500 2800 49.39006
2500 2900 50.38772
2500 3000 51.34673
2600 -1000 -19.87714
2600 -900 -17.93223
2600 -800 -15.94057
2600 -700 -13.90543
2600 -600 -11.83065
2600 -500 -9.72066
2600 -400 -7.58039
2600 -300 -5.41526
2600 -200 -3.23111
2600 -100 -1.03408
2600 0 1.16943
2600 100 3.37295
2600 200 5.56999
2600 300 7.75415
2600 400 9.91930
2600 500 12.05960
2600 600 14.16963
2600 700 16.24444
2600 800 18.27962
